x,y
0.01016,0.014
0.0102108,0.014
0.010261600000000001,0.014
0.010312400000000001,0.015
0.0103632,0.015
0.010414,0.015
0.0104648,0.016
0.0105156,0.017
0.0105664,0.026
0.0106172,0.06
0.010668,0.176
0.0107188,0.46
0.0107696,0.849
0.0108204,1.364
0.010871200000000001,1.971
0.010922000000000001,2.41
0.010972800000000001,2.703
0.011023600000000001,2.795
0.011074400000000002,2.861
0.0111252,2.879
0.011176,2.884
0.0112268,2.894
0.0112776,2.889
0.011328399999999999,2.886
0.011379199999999999,2.89
0.01143,2.888
